Toll Name,Detection time,Picture Time,Violation,Plate_1st_Recong,vehicle_model,is_target,LaneNr,Cross_lane,AVC,Axle_car_type,Width,Height,axle_length,Axle Number,Axle Begin Time
NH44P01SP,00:02:18.296,00:02:18.000,1,HR67E6594,"BAJAJ, BAJAJ RE CNG 4S FI",是,2,-1,8,1,1242,1609,2736,2,02:19.6
NH44P01SP,19:48:46.858,19:48:48.200,1,HR69C1035,"TATA MOTORS LTD, TATA LPS 4018 CR BS-IV",否,2,1,8,1,1190,1406,1575,2,48:48.0
NH44P01SP,19:51:20.666,19:51:21.000,0,HR20AA0027,"FIAT INDIA AUTOMOBILES PVT LTD, INNOVA HYCROSS HYBRID VX(7S)",否,2,1,8,1,2034,1602,1746,2,51:20.7
NH44P01SP,00:15:14.955,,1,,,跳過,2,-1,8,0,1441,1699,0,0,
NH44P01SP,19:52:59.108,19:52:59.626,1,DL1LAG3458,"ASHOK LEYLAND LTD, DOST CNG RLS",否,2,-1,8,1,3037,2345,2952,2,53:00.6
NH44P01SP,00:34:10.606,00:34:11.000,1,0,,跳過,1,-1,8,0,1430,1641,0,0,
NH44P01SP,19:54:25.630,19:54:25.862,1,HR67D3817,"BAJAJ AUTO LTD, BAJAJ MAXIMA Z CNG",是,2,-1,8,1,1308,1605,2898,2,54:26.2
NH44P01SP,01:13:55.373,01:13:55.200,1,DL3CCV2603,"RENAULT INDIA PVT LTD, KWID RXL PETROL MT 1.0 SCE",否,2,1,8,0,1402,1271,0,0,
NH44P01SP,19:55:17.320,19:55:17.600,1,DL3CQ1239,"Visit the RTO: If your RC number isn’t digitized, visit your local RTO to update your records and request the digitization of your RC.",否,1,-1,8,0,1244,1382,0,0,
NH44P01SP,01:47:42.354,01:47:42.600,1,0,,跳過,3,2,8,0,1406,1564,0,0,
NH44P01SP,19:56:02.008,19:56:02.200,1,HR56C2896,"BAJAJ AUTO LTD, BAJAJ MAXIMA Z CNG",是,2,-1,8,1,1416,1852,2844,2,56:02.9
NH44P01SP,02:23:32.929,02:23:32.600,1,HR06AP1964,"MARUTI, ALTO 800",否,2,-1,8,0,1388,1292,0,0,
NH44P01SP,19:59:59.897,,1,,,跳過,3,2,8,0,1290,1557,0,0,
NH44P01SP,02:45:45.267,02:45:45.000,1,DL13CA3479,"MARUTI SUZUKI INDIA LTD, WAGON R LXI CNG",否,2,1,8,0,1326,1469,0,0,
NH44P01SP,20:05:20.685,20:05:20.800,1,DL2CAZ5976,"MARUTI SUZUKI INDIA LTD, MARUTI ALTO 800 LXI",否,1,-1,8,0,1428,1261,0,0,
NH44P01SP,02:52:56.080,02:52:56.000,1,HR51AV8597,"HYUNDAI MOTOR INDIA LTD, SANTRO (HYUNDAI)",否,1,-1,8,0,1362,1377,0,0,
NH44P01SP,20:09:55.633,20:09:55.600,1,HR67D9940,"BAJAJ AUTO LTD, BAJAJ MAXIMA C CNG",是,2,3,8,0,1382,1590,0,0,
NH44P01SP,03:43:33.387,03:43:33.600,1,0,,跳過,2,-1,8,0,1164,1390,0,0,
NH44P01SP,20:15:12.340,20:15:12.600,1,HR06BN4189,"MARUTI SUZUKI INDIA LTD, EECO 5 STR AC CNG",否,1,2,8,0,1426,1640,0,0,
NH44P01SP,04:00:47.800,04:00:48.000,1,0,,跳過,2,-1,8,0,1348,1995,0,0,
NH44P01SP,20:18:39.760,20:18:40.000,1,HR62C7624,"Visit the RTO: If your RC number isn’t digitized, visit your local RTO to update your records and request the digitization of your RC.",否,2,1,8,0,1446,1859,0,0,
NH44P01SP,04:08:57.010,04:08:57.400,1,DL1CZ7120,"MARUTI SUZUKI INDIA LTD, MARUTI EECO 5 SEATER WITH AC",否,1,-1,8,0,1412,1574,0,0,
NH44P01SP,20:34:49.952,20:34:50.275,1,HR54D6780,"MARUTI SUZUKI INDIA LTD, ALTO K10 VXI",否,1,-1,8,0,1398,1274,0,0,
NH44P01SP,04:19:09.986,04:19:10.200,1,HR06AX7711,"MARUTI SUZUKI INDIA LTD, WAGON R LXI (O) CNG",否,1,-1,8,0,1440,1438,0,0,
NH44P01SP,20:38:48.860,20:38:49.200,1,DL5CJ1465,"Visit the RTO: If your RC number isn’t digitized, visit your local RTO to update your records and request the digitization of your RC.",否,1,2,8,0,1408,1495,0,0,
NH44P01SP,20:40:30.578,,1,,,跳過,2,-1,8,0,1186,1417,0,0,
NH44P01SP,05:27:50.166,05:27:50.400,1,0,,跳過,2,1,8,1,1974,2103,2241,2,27:50.9
NH44P01SP,05:28:29.499,,1,,,跳過,1,2,8,0,1374,1409,0,0,
NH44P01SP,20:43:59.079,20:43:59.600,1,DL5CE7495,"MARUTI SUZUKI INDIA LTD, MARUTI WAGON R VXI BSIV",否,1,-1,8,0,1386,1484,0,0,
NH44P01SP,20:53:23.742,20:53:24.000,0,HR40E3556,"BAJAJ, DISCOVER",是,1,2,8,1,2234,1554,2349,2,53:24.3
NH44P01SP,05:37:04.196,05:37:04.400,1,0,,跳過,1,-1,8,0,1408,1405,0,0,
NH44P01SP,20:59:43.002,20:59:43.161,1,MR42F2066,"Visit the RTO: If your RC number isn’t digitized, visit your local RTO to update your records and request the digitization of your RC.",否,1,-1,8,0,1390,1576,0,0,
NH44P01SP,05:41:49.721,05:41:49.800,1,MHR37D0487,,無資料,2,3,8,0,1429,1696,0,0,
NH44P01SP,21:13:09.582,,1,,,跳過,1,-1,8,0,1290,1288,0,0,
NH44P01SP,05:55:42.322,05:55:42.762,1,HR676822,"SML MAHINDRA LTD, ZT54ETC DEL BUS",否,2,3,8,1,1706,2049,2898,2,55:43.7
NH44P01SP,21:14:52.455,,1,,,跳過,1,-1,8,0,1310,1364,0,0,
NH44P01SP,06:02:28.322,06:02:28.600,1,0,,跳過,1,-1,8,0,1388,1307,0,0,
NH44P01SP,21:14:57.471,,1,,,跳過,1,-1,8,0,1272,912,0,0,
NH44P01SP,06:04:46.565,06:04:46.400,1,UP85CH6413,"MARUTI SUZUKI INDIA LTD, EECO 5 STR AC",否,1,2,8,0,1442,1573,0,0,
NH44P01SP,21:14:57.862,,1,,,跳過,1,-1,8,0,1140,1088,0,0,
NH44P01SP,21:15:05.302,21:15:05.800,1,DL12CV9599,"MARUTI SUZUKI INDIA LTD, XL6 SMART HYBRID ZETA",否,2,1,8,0,1412,847,0,0,
NH44P01SP,06:17:11.505,06:17:11.200,1,HR54E3835,"MARUTI SUZUKI INDIA LTD, ALTO LXI",否,2,1,8,0,1362,1302,0,0,
NH44P01SP,06:30:07.488,06:30:07.600,1,HR45D6211,"MARUTI SUZUKI INDIA LTD, EECO CARGO CNG",否,2,1,8,0,1406,1636,0,0,
.797.jpg,,,,,,,,,,,,,,,
NH44P01SP,21:15:06.264,,1,,,跳過,1,-1,8,0,1428,802,0,0,
NH44P01SP,06:30:10.724,06:30:10.800,1,HR02AS4058,"MARUTI SUZUKI INDIA LTD, MARUTI ALTO 800 LXI (O)",否,1,-1,8,0,1390,1304,0,0,
NH44P01SP,21:15:45.119,,1,,,跳過,2,-1,8,0,1440,1268,0,0,
NH44P01SP,06:43:11.368,06:43:11.400,1,HR05BJ5867,"MARUTI SUZUKI INDIA LTD, ALTO K10 VXI+",否,1,-1,8,0,1394,1343,0,0,
NH44P01SP,21:21:47.569,21:21:47.800,1,0,,跳過,3,2,8,1,2016,1386,2790,2,21:49.2
NH44P01SP,06:47:47.547,,1,,,跳過,1,2,8,0,1348,1623,0,0,
NH44P01SP,21:22:36.474,,1,,,跳過,1,-1,8,0,1362,1371,0,0,
NH44P01SP,06:48:06.632,06:48:06.800,1,HR55AG8104,"BAJAJ AUTO LTD, BAJAJ MAXIMA CNG",是,2,3,8,0,1378,1683,0,0,
NH44P01SP,21:24:16.038,,1,,,跳過,1,2,8,0,1438,1334,0,0,
NH44P01SP,06:54:28.622,06:54:28.600,1,JK13K2377,"MARUTI SUZUKI INDIA LTD, ALTO K10 STD",否,1,-1,8,0,1444,1343,0,0,
NH44P01SP,21:24:54.352,21:24:54.600,1,0,,跳過,1,2,8,0,1353,1216,0,0,
NH44P01SP,06:56:55.238,06:56:55.206,1,HR60J5900,"TATA MOTORS LTD, TATA NEXON XM 1.5 RTQ BS4",否,2,3,8,1,1408,1933,2898,2,56:56.6
NH44P01SP,21:35:05.258,21:35:05.600,1,0,,跳過,3,-1,8,0,1218,1450,0,0,
NH44P01SP,06:59:26.880,06:59:26.800,1,HR45C2007,"BAJAJ AUTO LTD, RE COMPACT + LPG",是,3,2,8,0,1264,1730,0,0,
NH44P01SP,22:04:12.397,22:04:12.757,1,HR10Y6713,"HYUNDAI MOTOR INDIA LTD, SANTRO GL F/L BSIV",否,2,1,8,0,1448,1416,0,0,
NH44P01SP,07:10:32.006,07:10:32.400,1,PB08FX4025,"VE COMMERCIAL VEHICLES LTD, EICHER PRO 2110 L CBC",否,2,3,8,0,1202,599,0,0,
NH44P01SP,22:13:15.134,22:13:15.516,0,RJ01GD5401,"ASHOK LEYLAND LTD, NA5525N/34 TT CC",否,2,1,8,1,3025,3133,2349,2,13:16.7
NH44P01SP,07:14:14.971,,1,,,跳過,1,2,8,0,1384,1293,0,0,
NH44P01SP,22:14:10.382,22:14:10.600,1,0,,跳過,2,3,8,0,1404,1414,0,0,
NH44P01SP,07:15:23.009,07:15:23.257,1,HR014003,HR-01,否,2,-1,8,0,1212,1442,0,0,
NH44P01SP,22:41:52.645,22:41:53.000,1,0,,跳過,3,-1,8,0,1282,1104,0,0,
NH44P01SP,07:20:12.677,07:20:14.032,1,DL1MB4114,"VE COMMERCIAL VEHICLES LTD, EICHER PRO 2109 L CNG CBC BSVI",否,2,-1,8,0,1342,1857,0,0,
NH44P01SP,22:46:17.555,22:46:17.200,1,DL5CK5973,"MARUTI SUZUKI INDIA LTD, ALTO 800 STD BS IV",否,2,-1,8,0,1424,1289,0,0,
NH44P01SP,07:21:26.782,,1,,,跳過,1,2,8,0,1366,1857,0,0,
